 Variable , Description , Units 
 PET , Potential evaporation , mm d-1
 ? , Slope of vapor pressure curve , kPa 캜-1
 ? , Latent heat of vaporization , MJ kg-1
 ?w , Water density (=1000) , kg L-1 
 ?a , Air density , kg m-3 
 ? , Psychrometric constant , kPa 째C-1
 es , Saturation vapour pressure , kPa 
 ea , Actual vapour pressure , kPa 
 ra , Aerodynamic resistance , s m-1 
 rs , Surface resistance of reference crop (70) , s m-1 
 u2 , Wind speed 2 m above soil surface , m s-1 
 $T_a$ , Air temperature , 째C 
 $T_d$ , Dew point temperature , 째C 
 Tmax , Maximum air temperature , 째C 
 Tmin , Minimum air temperature , 째C 
 Ra , Extraterrestrial radiation , MJ m-2 d-1
 Rs , Global short-wave radiation , MJ m-2 d-1
 Rn , Net incoming solar radiation , MJ m-2 d-1
 RH , Relative humidity , % 
 DL , Day length , h d-1
 ? , Surface albedo , - 
 JD , Julian day , ordinal date 
 cp , Air specific heat capacity , MJ kg-2 째C-1 
